strategy,student_type,episode_id,step,phase,active_skill,polynomial_mastery,integer_mastery,fraction_mastery,is_correct,was_remediation,was_unnecessary_remediation
AB1_Baseline,Careless,3,10,mainline,poly_combine,0.642828,0.662371,0.662371,1,0,0
AB1_Baseline,Careless,3,11,mainline,poly_expand,0.67003,0.678254,0.678254,1,0,0
AB1_Baseline,Careless,3,12,mainline,poly_division,0.736591,0.692654,0.692654,1,0,0
AB1_Baseline,Careless,3,13,mainline,poly_combine,0.753316,0.705307,0.705307,1,0,0
AB1_Baseline,Careless,3,14,mainline,poly_expand,0.771693,0.718254,0.718254,1,0,0
AB1_Baseline,Careless,3,15,mainline,poly_division,0.765909,0.718254,0.718254,0,0,0
AB1_Baseline,Careless,3,16,mainline,poly_combine,0.777271,0.729533,0.729533,1,0,0
AB1_Baseline,Careless,3,17,mainline,poly_expand,0.771335,0.729533,0.729533,0,0,0
AB1_Baseline,Careless,3,18,mainline,poly_division,0.757981,0.729533,0.729533,0,0,0
AB1_Baseline,Careless,3,19,mainline,poly_combine,0.751893,0.729533,0.729533,0,0,0
AB1_Baseline,Careless,3,20,mainline,poly_expand,0.765902,0.740753,0.740753,1,0,0
AB1_Baseline,Careless,3,21,mainline,poly_division,0.814787,0.750994,0.750994,1,0,0
AB1_Baseline,Careless,3,22,mainline,poly_combine,0.808471,0.750994,0.750994,0,0,0
AB1_Baseline,Careless,3,23,mainline,poly_expand,0.818171,0.760255,0.760255,1,0,0
AB1_Baseline,Careless,3,24,mainline,poly_division,0.804057,0.760255,0.760255,0,0,0
AB1_Baseline,Careless,3,25,mainline,poly_combine,0.797513,0.760255,0.760255,0,0,0
AB1_Baseline,Careless,3,26,mainline,poly_expand,0.790893,0.760255,0.760255,0,0,0
AB1_Baseline,Careless,3,27,mainline,poly_division,0.784197,0.760255,0.760255,0,0,0
AB1_Baseline,Careless,3,28,mainline,poly_combine,0.796759,0.769454,0.769454,1,0,0
AB1_Baseline,Careless,3,29,mainline,poly_expand,0.805207,0.777498,0.777498,1,0,0
AB1_Baseline,Careless,3,30,mainline,poly_division,0.843406,0.784887,0.784887,1,0,0
AB1_Baseline,Careless,3,31,mainline,poly_combine,0.852324,0.7932,0.7932,1,0,0
AB1_Baseline,Careless,4,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,4,2,mainline,poly_expand,0.500387,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,4,3,mainline,poly_division,0.495515,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,4,4,mainline,poly_combine,0.53176,0.609984,0.609984,1,0,0
AB1_Baseline,Careless,4,5,mainline,poly_expand,0.592549,0.63018,0.63018,1,0,0
AB1_Baseline,Careless,4,6,mainline,poly_division,0.658338,0.648408,0.648408,1,0,0
AB1_Baseline,Careless,4,7,mainline,poly_combine,0.653162,0.648408,0.648408,0,0,0
AB1_Baseline,Careless,4,8,mainline,poly_expand,0.64791,0.648408,0.648408,0,0,0
AB1_Baseline,Careless,4,9,mainline,poly_division,0.635697,0.648408,0.648408,0,0,0
AB1_Baseline,Careless,4,10,mainline,poly_combine,0.630293,0.648408,0.648408,0,0,0
AB1_Baseline,Careless,4,11,mainline,poly_expand,0.671549,0.664304,0.664304,1,0,0
AB1_Baseline,Careless,4,12,mainline,poly_division,0.665993,0.664304,0.664304,0,0,0
AB1_Baseline,Careless,4,13,mainline,poly_combine,0.692353,0.678112,0.678112,1,0,0
AB1_Baseline,Careless,4,14,mainline,poly_expand,0.686645,0.678112,0.678112,0,0,0
AB1_Baseline,Careless,4,15,mainline,poly_division,0.680861,0.678112,0.678112,0,0,0
AB1_Baseline,Careless,4,16,mainline,poly_combine,0.698768,0.690421,0.690421,1,0,0
AB1_Baseline,Careless,4,17,mainline,poly_expand,0.692832,0.690421,0.690421,0,0,0
AB1_Baseline,Careless,4,18,mainline,poly_division,0.68682,0.690421,0.690421,0,0,0
AB1_Baseline,Careless,4,19,mainline,poly_combine,0.680732,0.690421,0.690421,0,0,0
AB1_Baseline,Careless,4,20,mainline,poly_expand,0.710926,0.703795,0.703795,1,0,0
AB1_Baseline,Careless,4,21,mainline,poly_division,0.704686,0.703795,0.703795,0,0,0
AB1_Baseline,Careless,4,22,mainline,poly_combine,0.718463,0.714468,0.714468,1,0,0
AB1_Baseline,Careless,4,23,mainline,poly_expand,0.712071,0.714468,0.714468,0,0,0
AB1_Baseline,Careless,4,24,mainline,poly_division,0.705603,0.714468,0.714468,0,0,0
AB1_Baseline,Careless,4,25,mainline,poly_combine,0.715194,0.724029,0.724029,1,0,0
AB1_Baseline,Careless,4,26,mainline,poly_expand,0.708574,0.724029,0.724029,0,0,0
AB1_Baseline,Careless,4,27,mainline,poly_division,0.701878,0.724029,0.724029,0,0,0
AB1_Baseline,Careless,4,28,mainline,poly_combine,0.708606,0.732606,0.732606,1,0,0
AB1_Baseline,Careless,4,29,mainline,poly_expand,0.732222,0.743856,0.743856,1,0,0
AB1_Baseline,Careless,4,30,mainline,poly_division,0.725298,0.743856,0.743856,0,0,0
AB1_Baseline,Careless,4,31,mainline,poly_combine,0.718338,0.743856,0.743856,0,0,0
AB1_Baseline,Careless,4,32,mainline,poly_expand,0.735271,0.754139,0.754139,1,0,0
AB1_Baseline,Careless,4,33,mainline,poly_division,0.728311,0.754139,0.754139,0,0,0
AB1_Baseline,Careless,4,34,mainline,poly_combine,0.721351,0.754139,0.754139,0,0,0
AB1_Baseline,Careless,4,35,mainline,poly_expand,0.714391,0.754139,0.754139,0,0,0
AB1_Baseline,Careless,4,36,mainline,poly_division,0.707431,0.754139,0.754139,0,0,0
AB1_Baseline,Careless,4,37,mainline,poly_combine,0.715998,0.761889,0.761889,1,0,0
AB1_Baseline,Careless,4,38,mainline,poly_expand,0.709038,0.761889,0.761889,0,0,0
AB1_Baseline,Careless,4,39,mainline,poly_division,0.76592,0.771447,0.771447,1,0,0
AB1_Baseline,Careless,4,40,mainline,poly_combine,0.750987,0.771447,0.771447,0,0,0
AB1_Baseline,Careless,4,41,mainline,poly_expand,0.744027,0.771447,0.771447,0,0,0
AB1_Baseline,Careless,4,42,mainline,poly_division,0.78542,0.780333,0.780333,1,0,0
AB1_Baseline,Careless,4,43,mainline,poly_combine,0.77846,0.780333,0.780333,0,0,0
AB1_Baseline,Careless,4,44,mainline,poly_expand,0.796468,0.788593,0.788593,1,0,0
AB1_Baseline,Careless,4,45,mainline,poly_division,0.826589,0.796271,0.796271,1,0,0
AB1_Baseline,Careless,4,46,mainline,poly_combine,0.819629,0.796271,0.796271,0,0,0
AB1_Baseline,Careless,4,47,mainline,poly_expand,0.832734,0.803409,0.803409,1,0,0
AB1_Baseline,Careless,4,48,mainline,poly_division,0.825774,0.803409,0.803409,0,0,0
AB1_Baseline,Careless,4,49,mainline,poly_combine,0.818814,0.803409,0.803409,0,0,0
AB1_Baseline,Careless,4,50,mainline,poly_expand,0.828349,0.810044,0.810044,1,0,0
AB1_Baseline,Careless,5,1,mainline,poly_combine,0.44528,0.575,0.575,0,0,0
AB1_Baseline,Careless,5,2,mainline,poly_expand,0.505616,0.595709,0.595709,1,0,0
AB1_Baseline,Careless,5,3,mainline,poly_division,0.494163,0.595709,0.595709,0,0,0
AB1_Baseline,Careless,5,4,mainline,poly_combine,0.489215,0.595709,0.595709,0,0,0
AB1_Baseline,Careless,5,5,mainline,poly_expand,0.528958,0.614046,0.614046,1,0,0
AB1_Baseline,Careless,5,6,mainline,poly_division,0.523858,0.614046,0.614046,0,0,0
AB1_Baseline,Careless,5,7,mainline,poly_combine,0.518682,0.614046,0.614046,0,0,0
AB1_Baseline,Careless,5,8,mainline,poly_expand,0.545084,0.630313,0.630313,1,0,0
AB1_Baseline,Careless,5,9,mainline,poly_division,0.539756,0.630313,0.630313,0,0,0
AB1_Baseline,Careless,5,10,mainline,poly_combine,0.534352,0.630313,0.630313,0,0,0
AB1_Baseline,Careless,5,11,mainline,poly_expand,0.552042,0.644771,0.644771,1,0,0
AB1_Baseline,Careless,5,12,mainline,poly_division,0.620638,0.657878,0.657878,1,0,0
AB1_Baseline,Careless,5,13,mainline,poly_combine,0.67805,0.674614,0.674614,1,0,0
AB1_Baseline,Careless,5,14,mainline,poly_expand,0.672342,0.674614,0.674614,0,0,0
AB1_Baseline,Careless,5,15,mainline,poly_division,0.718814,0.686291,0.686291,1,0,0
AB1_Baseline,Careless,5,16,mainline,poly_combine,0.757817,0.701209,0.701209,1,0,0
AB1_Baseline,Careless,5,17,mainline,poly_expand,0.771241,0.711728,0.711728,1,0,0
AB1_Baseline,Careless,5,18,mainline,poly_division,0.765229,0.711728,0.711728,0,0,0
AB1_Baseline,Careless,5,19,mainline,poly_combine,0.759141,0.711728,0.711728,0,0,0
AB1_Baseline,Careless,5,20,mainline,poly_expand,0.768361,0.721125,0.721125,1,0,0
AB1_Baseline,Careless,5,21,mainline,poly_division,0.801216,0.729702,0.729702,1,0,0
AB1_Baseline,Careless,5,22,mainline,poly_combine,0.7949,0.729702,0.729702,0,0,0
AB1_Baseline,Careless,5,23,mainline,poly_expand,0.801283,0.737459,0.737459,1,0,0
AB1_Baseline,Careless,5,24,mainline,poly_division,0.794815,0.737459,0.737459,0,0,0
AB1_Baseline,Careless,5,25,mainline,poly_combine,0.823959,0.750011,0.750011,1,0,0
AB1_Baseline,Careless,5,26,mainline,poly_expand,0.828415,0.756962,0.756962,1,0,0
AB1_Baseline,Careless,5,27,mainline,poly_division,0.821719,0.756962,0.756962,0,0,0
AB1_Baseline,Careless,5,28,mainline,poly_combine,0.842167,0.768223,0.768223,1,0,0
AB1_Baseline,Careless,5,29,mainline,poly_expand,0.845302,0.774463,0.774463,1,0,0
AB1_Baseline,Careless,5,30,mainline,poly_division,0.87075,0.780194,0.780194,1,0,0
AB1_Baseline,Careless,6,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,6,2,mainline,poly_expand,0.500387,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,6,3,mainline,poly_division,0.495515,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,6,4,mainline,poly_combine,0.53176,0.609984,0.609984,1,0,0
AB1_Baseline,Careless,6,5,mainline,poly_expand,0.526736,0.609984,0.609984,0,0,0
AB1_Baseline,Careless,6,6,mainline,poly_division,0.592526,0.630009,0.630009,1,0,0
AB1_Baseline,Careless,6,7,mainline,poly_combine,0.616537,0.64457,0.64457,1,0,0
AB1_Baseline,Careless,6,8,mainline,poly_expand,0.611285,0.64457,0.64457,0,0,0
AB1_Baseline,Careless,6,9,mainline,poly_division,0.605957,0.64457,0.64457,0,0,0
AB1_Baseline,Careless,6,10,mainline,poly_combine,0.621998,0.657503,0.657503,1,0,0
AB1_Baseline,Careless,6,11,mainline,poly_expand,0.609532,0.657503,0.657503,0,0,0
AB1_Baseline,Careless,6,12,mainline,poly_division,0.603976,0.657503,0.657503,0,0,0
AB1_Baseline,Careless,6,13,mainline,poly_combine,0.598344,0.657503,0.657503,0,0,0
AB1_Baseline,Careless,6,14,mainline,poly_expand,0.592636,0.657503,0.657503,0,0,0
AB1_Baseline,Careless,6,15,mainline,poly_division,0.638101,0.674344,0.674344,1,0,0
AB1_Baseline,Careless,6,16,mainline,poly_combine,0.632241,0.674344,0.674344,0,0,0
AB1_Baseline,Careless,6,17,mainline,poly_expand,0.697037,0.689515,0.689515,1,0,0
AB1_Baseline,Careless,6,18,mainline,poly_division,0.691025,0.689515,0.689515,0,0,0
AB1_Baseline,Careless,6,19,mainline,poly_combine,0.704804,0.700396,0.700396,1,0,0
AB1_Baseline,Careless,6,20,mainline,poly_expand,0.69864,0.700396,0.700396,0,0,0
AB1_Baseline,Careless,6,21,mainline,poly_division,0.6924,0.700396,0.700396,0,0,0
AB1_Baseline,Careless,6,22,mainline,poly_combine,0.686084,0.700396,0.700396,0,0,0
AB1_Baseline,Careless,6,23,mainline,poly_expand,0.679692,0.700396,0.700396,0,0,0
AB1_Baseline,Careless,6,24,mainline,poly_division,0.712992,0.713423,0.713423,1,0,0
AB1_Baseline,Careless,6,25,mainline,poly_combine,0.724098,0.722866,0.722866,1,0,0
AB1_Baseline,Careless,6,26,mainline,poly_expand,0.717478,0.722866,0.722866,0,0,0
AB1_Baseline,Careless,6,27,mainline,poly_division,0.740781,0.734547,0.734547,1,0,0
AB1_Baseline,Careless,6,28,mainline,poly_combine,0.734009,0.734547,0.734547,0,0,0
AB1_Baseline,Careless,6,29,mainline,poly_expand,0.781064,0.74515,0.74515,1,0,0
AB1_Baseline,Careless,6,30,mainline,poly_division,0.7975,0.754891,0.754891,1,0,0
AB1_Baseline,Careless,6,31,mainline,poly_combine,0.806998,0.763141,0.763141,1,0,0
AB1_Baseline,Careless,6,32,mainline,poly_expand,0.840737,0.772146,0.772146,1,0,0
AB1_Baseline,Careless,6,33,mainline,poly_division,0.833777,0.772146,0.772146,0,0,0
AB1_Baseline,Careless,6,34,mainline,poly_combine,0.840689,0.779816,0.779816,1,0,0
AB1_Baseline,Careless,6,35,mainline,poly_expand,0.865241,0.788187,0.788187,1,0,0
AB1_Baseline,Careless,7,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,7,2,mainline,poly_expand,0.565519,0.614269,0.614269,1,0,0
AB1_Baseline,Careless,7,3,mainline,poly_division,0.560647,0.614269,0.614269,0,0,0
AB1_Baseline,Careless,7,4,mainline,poly_combine,0.596892,0.630693,0.630693,1,0,0
AB1_Baseline,Careless,7,5,mainline,poly_expand,0.636635,0.64903,0.64903,1,0,0
AB1_Baseline,Careless,7,6,mainline,poly_division,0.702425,0.66558,0.66558,1,0,0
AB1_Baseline,Careless,7,7,mainline,poly_combine,0.697249,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,8,mainline,poly_expand,0.691997,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,9,mainline,poly_division,0.686669,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,10,mainline,poly_combine,0.681265,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,11,mainline,poly_expand,0.675785,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,12,mainline,poly_division,0.670229,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,13,mainline,poly_combine,0.664597,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,14,mainline,poly_expand,0.658889,0.66558,0.66558,0,0,0
AB1_Baseline,Careless,7,15,mainline,poly_division,0.704354,0.679498,0.679498,1,0,0
AB1_Baseline,Careless,7,16,mainline,poly_combine,0.731897,0.692931,0.692931,1,0,0
AB1_Baseline,Careless,7,17,mainline,poly_expand,0.725961,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,18,mainline,poly_division,0.719949,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,19,mainline,poly_combine,0.713861,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,20,mainline,poly_expand,0.707697,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,21,mainline,poly_division,0.701457,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,22,mainline,poly_combine,0.687597,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,23,mainline,poly_expand,0.681205,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,24,mainline,poly_division,0.674737,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,25,mainline,poly_combine,0.668193,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,26,mainline,poly_expand,0.661573,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,27,mainline,poly_division,0.654877,0.692931,0.692931,0,0,0
AB1_Baseline,Careless,7,28,mainline,poly_combine,0.679939,0.703887,0.703887,1,0,0
AB1_Baseline,Careless,7,29,mainline,poly_expand,0.71429,0.715007,0.715007,1,0,0
AB1_Baseline,Careless,7,30,mainline,poly_division,0.707366,0.715007,0.715007,0,0,0
AB1_Baseline,Careless,7,31,mainline,poly_combine,0.700406,0.715007,0.715007,0,0,0
AB1_Baseline,Careless,7,32,mainline,poly_expand,0.725037,0.725171,0.725171,1,0,0
AB1_Baseline,Careless,7,33,mainline,poly_division,0.718077,0.725171,0.725171,0,0,0
AB1_Baseline,Careless,7,34,mainline,poly_combine,0.737764,0.735071,0.735071,1,0,0
AB1_Baseline,Careless,7,35,mainline,poly_expand,0.755688,0.744519,0.744519,1,0,0
AB1_Baseline,Careless,7,36,mainline,poly_division,0.794845,0.753301,0.753301,1,0,0
AB1_Baseline,Careless,7,37,mainline,poly_combine,0.787885,0.753301,0.753301,0,0,0
AB1_Baseline,Careless,7,38,mainline,poly_expand,0.800928,0.761466,0.761466,1,0,0
AB1_Baseline,Careless,7,39,mainline,poly_division,0.793968,0.761466,0.761466,0,0,0
AB1_Baseline,Careless,7,40,mainline,poly_combine,0.787008,0.761466,0.761466,0,0,0
AB1_Baseline,Careless,7,41,mainline,poly_expand,0.796499,0.769055,0.769055,1,0,0
AB1_Baseline,Careless,7,42,mainline,poly_division,0.789539,0.769055,0.769055,0,0,0
AB1_Baseline,Careless,7,43,mainline,poly_combine,0.782579,0.769055,0.769055,0,0,0
AB1_Baseline,Careless,7,44,mainline,poly_expand,0.775619,0.769055,0.769055,0,0,0
AB1_Baseline,Careless,7,45,mainline,poly_division,0.807904,0.776111,0.776111,1,0,0
AB1_Baseline,Careless,7,46,mainline,poly_combine,0.827916,0.785314,0.785314,1,0,0
AB1_Baseline,Careless,7,47,mainline,poly_expand,0.836718,0.791872,0.791872,1,0,0
AB1_Baseline,Careless,7,48,mainline,poly_division,0.860212,0.797969,0.797969,1,0,0
AB1_Baseline,Careless,8,1,mainline,poly_combine,0.505183,0.59356,0.59356,1,0,0
AB1_Baseline,Careless,8,2,mainline,poly_expand,0.500387,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,8,3,mainline,poly_division,0.495515,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,8,4,mainline,poly_combine,0.490567,0.59356,0.59356,0,0,0
AB1_Baseline,Careless,8,5,mainline,poly_expand,0.551356,0.613756,0.613756,1,0,0
AB1_Baseline,Careless,8,6,mainline,poly_division,0.617145,0.631984,0.631984,1,0,0
AB1_Baseline,Careless,8,7,mainline,poly_combine,0.654302,0.647994,0.647994,1,0,0
AB1_Baseline,Careless,8,8,mainline,poly_expand,0.64905,0.647994,0.647994,0,0,0
AB1_Baseline,Careless,8,9,mainline,poly_division,0.69288,0.664174,0.664174,1,0,0
AB1_Baseline,Careless,8,10,mainline,poly_combine,0.687476,0.664174,0.664174,0,0,0
AB1_Baseline,Careless,8,11,mainline,poly_expand,0.728733,0.678692,0.678692,1,0,0
AB1_Baseline,Careless,8,12,mainline,poly_division,0.75818,0.691854,0.691854,1,0,0
AB1_Baseline,Careless,8,13,mainline,poly_combine,0.78419,0.705697,0.705697,1,0,0
AB1_Baseline,Careless,8,14,mainline,poly_expand,0.812063,0.717531,0.717531,1,0,0
AB1_Baseline,Careless,8,15,mainline,poly_division,0.832013,0.728284,0.728284,1,0,0
AB1_Baseline,Careless,8,16,mainline,poly_combine,0.849682,0.740624,0.740624,1,0,0
AB1_Baseline,Careless,8,17,mainline,poly_expand,0.86867,0.750311,0.750311,1,0,0
AB1_Baseline,Careless,9,1,mainline,poly_combine,0.44528,0.575,0.575,0,0,0
AB1_Baseline,Careless,9,2,mainline,poly_expand,0.505616,0.595709,0.595709,1,0,0
AB1_Baseline,Careless,9,3,mainline,poly_division,0.500744,0.595709,0.595709,0,0,0
AB1_Baseline,Careless,9,4,mainline,poly_combine,0.556464,0.613813,0.613813,1,0,0
AB1_Baseline,Careless,9,5,mainline,poly_expand,0.596207,0.63215,0.63215,1,0,0
AB1_Baseline,Careless,9,6,mainline,poly_division,0.591107,0.63215,0.63215,0,0,0
AB1_Baseline,Careless,9,7,mainline,poly_combine,0.62802,0.648201,0.648201,1,0,0
AB1_Baseline,Careless,9,8,mainline,poly_expand,0.654423,0.664468,0.664468,1,0,0
